1#1+ы#1+а#1+ов#1+у#1+ам#1#1+ы#1+ом#1+ами#1+е#1+ах
0=аборт,1=аборт
0=абсурд,1=абсурд
0=авангард,1=авангард
0=аванс,1=аванс
0=август,1=август
0=автобус,1=автобус
0=автограф,1=автограф
0=автомат,1=автомат
0=автопилот,1=автопилот
0=авторитет,1=авторитет
0=агрегат,1=агрегат
0=ад,1=ад
0=азарт,1=азарт
0=азот,1=азот
0=аквариум,1=аквариум
0=аккорд,1=аккорд
0=акт,1=акт
0=актив,1=актив
0=акцент,1=акцент
0=алгоритм,1=алгоритм
0=алмаз,1=алмаз
0=альбом,1=альбом
0=альянс,1=альянс
0=анализ,1=анализ
0=анекдот,1=анекдот
0=антиген,1=антиген
0=антисемитизм,1=антисемитизм
0=апельсин,1=апельсин
0=аппарат,1=аппарат
0=аппетит,1=аппетит
0=арбуз,1=арбуз
0=аргумент,1=аргумент
0=арест,1=арест
0=аромат,1=аромат
0=арсенал,1=арсенал
0=архив,1=архив
0=аспект,1=аспект
0=ассортимент,1=ассортимент
0=асфальт,1=асфальт
0=атом,1=атом
0=атрибут,1=атрибут
0=аттракцион,1=аттракцион
0=аукцион,1=аукцион
0=аэродром,1=аэродром
0=аэропорт,1=аэропорт
0=базар,1=базар
0=бакс,1=бакс
0=бал,1=бал
0=баланс,1=баланс
0=балет,1=балет
0=балкон,1=балкон
0=балл,1=балл
0=баллон,1=баллон
0=банан,1=банан
0=банкет,1=банкет
0=бар,1=бар
0=барабан,1=барабан
0=барьер,1=барьер
0=бас,1=бас
0=бассейн,1=бассейн
0=батальон,1=батальон
0=бензин,1=бензин
0=бетон,1=бетон
0=бизнес,1=бизнес
0=билет,1=билет
0=бинт,1=бинт
0=блин,1=блин
0=блокнот,1=блокнот
0=боб,1=боб
0=боеприпас,1=боеприпас
0=бокал,1=бокал
0=бокс,1=бокс
0=бор,1=бор
0=браслет,1=браслет
0=бред,1=бред
0=брезент,1=брезент
0=бренд,1=бренд
0=бриллиант,1=бриллиант
0=букет,1=букет
0=бульвар,1=бульвар
0=бульдозер,1=бульдозер
0=бульон,1=бульон
0=бум,1=бум
0=бунт,1=бунт
0=бутерброд,1=бутерброд
0=буфет,1=буфет
0=быт,1=быт
0=бюджет,1=бюджет
0=бюст,1=бюст
0=вагон,1=вагон
0=вакуум,1=вакуум
0=вал,1=вал
0=валун,1=валун
0=вальс,1=вальс
0=вариант,1=вариант
0=ввод,1=ввод
0=вектор,1=вектор
0=велосипед,1=велосипед
0=вертолёт,1=вертолёт
0=взвод,1=взвод
0=взгляд,1=взгляд
0=взлёт,1=взлёт
0=взор,1=взор
0=взрыв,1=взрыв
0=вид,1=вид
0=визит,1=визит
0=виноград,1=виноград
0=винт,1=винт
0=вирус,1=вирус
0=витамин,1=витамин
0=вклад,1=вклад
0=вкус,1=вкус
0=водопад,1=водопад
0=водопровод,1=водопровод
0=водород,1=водород
0=водоём,1=водоём
0=военкомат,1=военкомат
0=воз,1=воз
0=возврат,1=возврат
0=возглас,1=возглас
0=возраст,1=возраст
0=вокзал,1=вокзал
0=вопрос,1=вопрос
0=ворот,1=ворот
0=восход,1=восход
0=вред,1=вред
0=вуз,1=вуз
0=вулкан,1=вулкан
0=вход,1=вход
0=въезд,1=въезд
0=выбор,1=выбор
0=выброс,1=выброс
0=вывод,1=вывод
0=вывоз,1=вывоз
0=выговор,1=выговор
0=выезд,1=выезд
0=вызов,1=вызов
0=выкуп,1=выкуп
0=вылет,1=вылет
0=выпад,1=выпад
0=вырост,1=вырост
0=выстрел,1=выстрел
0=выступ,1=выступ
0=выход,1=выход
0=газ,1=газ
0=газон,1=газон
0=газопровод,1=газопровод
0=гардероб,1=гардероб
0=гарнизон,1=гарнизон
0=гектар,1=гектар
0=ген,1=ген
0=генератор,1=генератор
0=генотип,1=генотип
0=генштаб,1=генштаб
0=гепатит,1=гепатит
0=герб,1=герб
0=гимн,1=гимн
0=глагол,1=глагол
0=гнев,1=гнев
0=год,1=год
0=гол,1=гол
0=голод,1=голод
0=гонорар,1=гонорар
0=горизонт,1=горизонт
0=горком,1=горком
0=гормон,1=гормон
0=град,1=град
0=градус,1=градус
0=грамм,1=грамм
0=грант,1=грант
0=графин,1=графин
0=гриб,1=гриб
0=грим,1=грим
0=грипп,1=грипп
0=гроб,1=гроб
0=гром,1=гром
